REF_DATE,GEO,DGUID,Inequality measures (5),Coordinate,Year (2):2020[1],Symbol,Year (2):2015[2],Symbol
2021,Norman's Cove-Long Cove,2021A00051001285,Gini index on adjusted household market income,39.2,0.510,,0.496,
2021,Norman's Cove-Long Cove,2021A00051001285,Gini index on adjusted household total income,39.3,0.297,,0.346,
2021,Norman's Cove-Long Cove,2021A00051001285,Gini index on adjusted household after-tax income,39.4,0.254,,0.303,
2021,Norman's Cove-Long Cove,2021A00051001285,P90/P10 ratio on adjusted household after-tax income,39.5,3.1,,4.1,
2021,Chapel Arm,2021A00051001289,Total - Population in private households,40.1,445,,460,
2021,Chapel Arm,2021A00051001289,Gini index on adjusted household market income,40.2,0.514,,0.460,
2021,Chapel Arm,2021A00051001289,Gini index on adjusted household total income,40.3,0.315,,0.332,
2021,Chapel Arm,2021A00051001289,Gini index on adjusted household after-tax income,40.4,0.273,,0.290,
2021,Chapel Arm,2021A00051001289,P90/P10 ratio on adjusted household after-tax income,40.5,3.2,,4.2,
2021,"Division No.  1, Subd. Y",2021A00051001293,Total - Population in private households,41.1,1210,,1120,
2021,"Division No.  1, Subd. Y",2021A00051001293,Gini index on adjusted household market income,41.2,0.483,,0.478,
2021,"Division No.  1, Subd. Y",2021A00051001293,Gini index on adjusted household total income,41.3,0.310,,0.352,
2021,"Division No.  1, Subd. Y",2021A00051001293,Gini index on adjusted household after-tax income,41.4,0.270,,0.306,
2021,"Division No.  1, Subd. Y",2021A00051001293,P90/P10 ratio on adjusted household after-tax income,41.5,3.5,,3.9,
2021,Whitbourne,2021A00051001298,Total - Population in private households,42.1,950,,885,
2021,Whitbourne,2021A00051001298,Gini index on adjusted household market income,42.2,0.496,,0.493,
2021,Whitbourne,2021A00051001298,Gini index on adjusted household total income,42.3,0.324,,0.354,
2021,Whitbourne,2021A00051001298,Gini index on adjusted household after-tax income,42.4,0.271,,0.307,
2021,Whitbourne,2021A00051001298,P90/P10 ratio on adjusted household after-tax income,42.5,3.2,,3.8,
2021,"Division No.  1, Subd. E",2021A00051001304,Total - Population in private households,43.1,2835,,2940,
2021,"Division No.  1, Subd. E",2021A00051001304,Gini index on adjusted household market income,43.2,0.524,,0.492,
2021,"Division No.  1, Subd. E",2021A00051001304,Gini index on adjusted household total income,43.3,0.309,,0.335,
2021,"Division No.  1, Subd. E",2021A00051001304,Gini index on adjusted household after-tax income,43.4,0.262,,0.292,
2021,"Division No.  1, Subd. E",2021A00051001304,P90/P10 ratio on adjusted household after-tax income,43.5,3.0,,3.8,
2021,Whiteway,2021A00051001308,Total - Population in private households,44.1,315,,330,
2021,Whiteway,2021A00051001308,Gini index on adjusted household market income,44.2,0.448,,0.428,
2021,Whiteway,2021A00051001308,Gini index on adjusted household total income,44.3,0.276,,0.295,
2021,Whiteway,2021A00051001308,Gini index on adjusted household after-tax income,44.4,0.240,,0.259,
2021,Whiteway,2021A00051001308,P90/P10 ratio on adjusted household after-tax income,44.5,3.1,,3.5,
2021,Heart's Delight-Islington,2021A00051001312,Total - Population in private households,45.1,645,,675,
2021,Heart's Delight-Islington,2021A00051001312,Gini index on adjusted household market income,45.2,0.524,,0.486,
2021,Heart's Delight-Islington,2021A00051001312,Gini index on adjusted household total income,45.3,0.305,,0.323,
2021,Heart's Delight-Islington,2021A00051001312,Gini index on adjusted household after-tax income,45.4,0.268,,0.277,
2021,Heart's Delight-Islington,2021A00051001312,P90/P10 ratio on adjusted household after-tax income,45.5,3.4,,3.9,
2021,Heart's Desire,2021A00051001316,Total - Population in private households,46.1,,x,,x
2021,Heart's Desire,2021A00051001316,Gini index on adjusted household market income,46.2,,x,,x
2021,Heart's Desire,2021A00051001316,Gini index on adjusted household total income,46.3,,x,,x
2021,Heart's Desire,2021A00051001316,Gini index on adjusted household after-tax income,46.4,,x,,x
2021,Heart's Desire,2021A00051001316,P90/P10 ratio on adjusted household after-tax income,46.5,,x,,x
2021,"Division No.  1, Subd. F",2021A00051001321,Total - Population in private households,47.1,540,,545,
2021,"Division No.  1, Subd. F",2021A00051001321,Gini index on adjusted household market income,47.2,0.544,,0.526,
2021,"Division No.  1, Subd. F",2021A00051001321,Gini index on adjusted household total income,47.3,0.309,,0.322,
2021,"Division No.  1, Subd. F",2021A00051001321,Gini index on adjusted household after-tax income,47.4,0.265,,0.279,
2021,"Division No.  1, Subd. F",2021A00051001321,P90/P10 ratio on adjusted household after-tax income,47.5,3.2,,3.5,
2021,Heart's Content,2021A00051001325,Total - Population in private households,48.1,325,,340,
2021,Heart's Content,2021A00051001325,Gini index on adjusted household market income,48.2,0.504,,0.552,
2021,Heart's Content,2021A00051001325,Gini index on adjusted household total income,48.3,0.289,,0.362,
2021,Heart's Content,2021A00051001325,Gini index on adjusted household after-tax income,48.4,0.247,,0.312,
2021,Heart's Content,2021A00051001325,P90/P10 ratio on adjusted household after-tax income,48.5,2.9,,3.8,
2021,New Perlican,2021A00051001328,Total - Population in private households,49.1,,x,,x
2021,New Perlican,2021A00051001328,Gini index on adjusted household market income,49.2,,x,,x
2021,New Perlican,2021A00051001328,Gini index on adjusted household total income,49.3,,x,,x
2021,New Perlican,2021A00051001328,Gini index on adjusted household after-tax income,49.4,,x,,x
2021,New Perlican,2021A00051001328,P90/P10 ratio on adjusted household after-tax income,49.5,,x,,x
2021,Winterton,2021A00051001332,Total - Population in private households,50.1,420,,425,
2021,Winterton,2021A00051001332,Gini index on adjusted household market income,50.2,0.538,,0.574,
2021,Winterton,2021A00051001332,Gini index on adjusted household total income,50.3,0.312,,0.346,
2021,Winterton,2021A00051001332,Gini index on adjusted household after-tax income,50.4,0.262,,0.308,
2021,Winterton,2021A00051001332,P90/P10 ratio on adjusted household after-tax income,50.5,2.8,,3.3,
2021,Hant's Harbour,2021A00051001335,Total - Population in private households,51.1,320,,330,
2021,Hant's Harbour,2021A00051001335,Gini index on adjusted household market income,51.2,0.560,,0.528,
2021,Hant's Harbour,2021A00051001335,Gini index on adjusted household total income,51.3,0.294,,0.322,
2021,Hant's Harbour,2021A00051001335,Gini index on adjusted household after-tax income,51.4,0.258,,0.281,
2021,Hant's Harbour,2021A00051001335,P90/P10 ratio on adjusted household after-tax income,51.5,3.0,,3.8,
2021,"Division No.  1, Subd. G",2021A00051001339,Total - Population in private households,52.1,1675,,1865,
2021,"Division No.  1, Subd. G",2021A00051001339,Gini index on adjusted household market income,52.2,0.538,,0.538,
2021,"Division No.  1, Subd. G",2021A00051001339,Gini index on adjusted household total income,52.3,0.297,,0.344,
2021,"Division No.  1, Subd. G",2021A00051001339,Gini index on adjusted household after-tax income,52.4,0.259,,0.302,
2021,"Division No.  1, Subd. G",2021A00051001339,P90/P10 ratio on adjusted household after-tax income,52.5,3.2,,3.8,
2021,Old Perlican,2021A00051001343,Total - Population in private households,53.1,575,,565,
2021,Old Perlican,2021A00051001343,Gini index on adjusted household market income,53.2,0.462,,0.428,
2021,Old Perlican,2021A00051001343,Gini index on adjusted household total income,53.3,0.278,,0.296,
2021,Old Perlican,2021A00051001343,Gini index on adjusted household after-tax income,53.4,0.244,,0.271,
